PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR
MIDODRINE HYDROCHLORIDE + OXYGEN,191,169,7.428204244646176,4.763690624420464,11.583081826791018,TOP_ROR,[],NONE
ACETAMINOPHEN + CHLORHEXIDINE GLUCONATE,191,169,7.428204244646176,4.763690624420464,11.583081826791018,TOP_ROR,[],NONE
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,217,192,7.426799268633707,4.895578480925806,11.26676808297174,TOP_ROR,[],NONE
ALENDRONIC ACID + PREDNISONE,286,253,7.414839976350636,5.158756657799177,10.657578079742756,TOP_ROR,[],NONE
ERELZI + TOCILIZUMAB,156,138,7.41307702173184,4.5359949211122474,12.115029202160937,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CALCIUM CARBONATE + HUMIRA,130,115,7.4127245470824015,4.328052267405224,12.69589224343194,TOP_ROR,['BIOLOGICS'],BIOLOGICS
HYDROXYCHLOROQUINE SULFATE + PREGABALIN,104,92,7.412372111176159,4.061539839277829,13.527692079541788,TOP_ROR,[],NONE
MAGNESIUM + POLYETHYLENE GLYCOL,104,92,7.412372111176159,4.061539839277829,13.527692079541788,TOP_ROR,[],NONE
CALCIUM CARBONATE + MIRTAZAPINE,104,92,7.412372111176159,4.061539839277829,13.527692079541788,TOP_ROR,[],NONE
FOSAMAX + SULFASALAZINE,242,214,7.391214811390109,4.98471271725775,10.95951953238466,TOP_ROR,[],NONE
ERELZI + INFLIXIMAB,293,259,7.367517973512482,5.152770803801303,10.534200560596595,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CARBOPLATIN + SIMVASTATIN,112,99,7.362895985989121,4.129846405012917,13.126937901295916,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
DICLOFENAC SODIUM + METHYLPREDNISOLONE SODIUM SUCCINATE,155,137,7.359341485110394,4.502183523904848,12.029697769293229,TOP_ROR,[],NONE
ALPRAZOLAM + PERPRAZOLE,172,152,7.348825026587164,4.610371098005888,11.713857328047318,TOP_ROR,[],NONE
NAPROXEN + OXYCODONE HYDROCHLORIDE,129,114,7.348248513046242,4.28923899585756,12.58888960527381,TOP_ROR,['OPIOIDS'],OPIOIDS
HUMIRA + MYCOPHENOLATE MOFETIL,103,91,7.331785329688535,4.015851710820538,13.38572238008573,TOP_ROR,"['IMMUNOSUPPRESSANTS', 'BIOLOGICS']","IMMUNOSUPPRESSANTS, BIOLOGICS"
ACTEMRA + CHOLECALCIFEROL,163,144,7.328346173540331,4.541828232123127,11.82445810244532,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ADALIMUMAB + PHTHALYLSULFATHIAZOLE,163,144,7.328346173540331,4.541828232123127,11.82445810244532,TOP_ROR,['BIOLOGICS'],BIOLOGICS
(-)-ARTERENOL + DOBUTAMINE,120,106,7.320501664694113,4.192553080667692,12.782126687887937,TOP_ROR,[],NONE
CYCLOPHOSPHAMIDE + VALACICLOVIR,120,106,7.320501664694113,4.192553080667692,12.782126687887937,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
COSENTYX + VOLTARENE,214,189,7.310703110435519,4.817215530519188,11.09486997837758,TOP_ROR,[],NONE
PHTHALYLSULFATHIAZOLE + SULFASALAZINE,291,257,7.310590991350763,5.112131562465895,10.45449241471384,TOP_ROR,[],NONE
HYDROXYCHLOROQUINE + KEVZARA,154,136,7.305606205319672,4.468372880943357,11.944366204267514,TOP_ROR,[],NONE
DARATUMUMAB/HYALURONIDASE-FIHJ + DEXAMETHASONE,154,136,7.305606205319672,4.468372880943357,11.944366204267514,TOP_ROR,[],NONE
CYCLOPHOSPHAMIDE + EPCORITAMAB,154,136,7.305606205319672,4.468372880943357,11.944366204267514,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
ACTEMRA + RAMIPRIL,171,151,7.300460046458718,4.579206889942557,11.63885322739995,TOP_ROR,['BIOLOGICS'],BIOLOGICS
NAPROXEN + OXYCODONE,188,166,7.296290317429314,4.676932769862221,11.382642217835652,TOP_ROR,['OPIOIDS'],OPIOIDS
KARDEGIC + PERPRAZOLE,205,181,7.292852914792491,4.764011685198109,11.1640581827384,TOP_ROR,[],NONE
ERELZI + ORENCIA,333,294,7.291452494929484,5.220822753871893,10.183314391660716,TOP_ROR,[],NONE
CELECOXIB + TRIAMCINOLONE ACETONIDE,111,98,7.2885058829779,4.086721899723675,12.99876020675528,TOP_ROR,[],NONE
ASCORBIC ACID + LANSOPRAZOLE,128,113,7.283772787158422,4.250426833673033,12.48188666480425,TOP_ROR,[],NONE
ACTEMRA + SULFAMETHOXAZOLE / TRIMETHOPRIM,145,128,7.280206100731212,4.389376507474055,12.074926992222084,TOP_ROR,['BIOLOGICS'],BIOLOGICS
HUMIRA + RAMIPRIL,162,143,7.277437488962869,4.50939786306315,11.744604937073952,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ALENDRONIC ACID + NAPROXEN,162,143,7.277437488962869,4.50939786306315,11.744604937073952,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE + ERELZI,281,248,7.268214765942685,5.0546126678731635,10.451235209303452,TOP_ROR,[],NONE
IBUPROFEN + QUETIAPINE FUMARATE,153,135,7.251871182357833,4.43456300457527,11.85903449590269,TOP_ROR,[],NONE
CETIRIZINE + HUMIRA,144,127,7.223312228872814,4.354057410645556,11.983360492264984,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CALCIUM CARBONATE + CETIRIZINE HYDROCHLORIDE,152,134,7.1981364162230355,4.400753907493973,11.773702632706724,TOP_ROR,[],NONE
HYDROCORTISONE ACETATE + METHOTREXATE,118,104,7.182344665989163,4.110859108819575,12.548733375558529,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
BACTRIM + CELLCEPT,202,178,7.17192547642777,4.683050045365265,10.983550152392567,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS
ADALIMUMAB + ORENCIA,244,215,7.169692159790478,4.865189388559382,10.565772791299764,TOP_ROR,['BIOLOGICS'],BIOLOGICS
LEFLUNOMIDE + RAMIPRIL,244,215,7.169692159790478,4.865189388559382,10.565772791299764,TOP_ROR,[],NONE
DICLOFENAC SODIUM + XELJANZ,252,222,7.156455248407491,4.887749917188364,10.478206248309869,TOP_ROR,[],NONE
LEFLUNOMIDE + SULFAMETHOXAZOLE / TRIMETHOPRIM,151,133,7.144401906913437,4.366945602750973,11.688370602865758,TOP_ROR,[],NONE
ADALIMUMAB + TRIAMCINOLONE ACETONIDE,109,96,7.139726743503169,4.000477544188981,12.742403227819818,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ALENDRONIC ACID + PSEUDOEPHEDRINE HYDROCHLORIDE,109,96,7.139726743503169,4.000477544188981,12.742403227819818,TOP_ROR,[],NONE
PREGABALIN + TRIAMCINOLONE ACETONIDE,109,96,7.139726743503169,4.000477544188981,12.742403227819818,TOP_ROR,[],NONE
OXYCODONE + PANTOPRAZOLE SODIUM,243,214,7.136327697022052,4.842027758712424,10.517736687413466,TOP_ROR,['OPIOIDS'],OPIOIDS
DESOXIMETASONE + DICLOFENAC DIETHYLAMMONIUM,159,140,7.1247128951626015,4.4121109485920025,11.505044734810069,TOP_ROR,[],NONE
PSEUDOEPHEDRINE HYDROCHLORIDE + SULFASALAZINE,284,250,7.111350840280894,4.969901393621059,10.175515924415077,TOP_ROR,[],NONE
INFLIXIMAB + METHYLPREDNISOLONE SODIUM SUCCINATE,142,125,7.109525300912838,4.28342189076391,11.80022684977815,TOP_ROR,['BIOLOGICS'],BIOLOGICS
ALENDRONATE SODIUM + CORTISONE ACETATE,192,169,7.1052212817347,4.596048398123063,10.984255405803044,TOP_ROR,[],NONE
FOLIC ACID + OXYCODONE HYDROCHLORIDE,317,279,7.101293028606975,5.059833304676945,9.9664079114088,TOP_ROR,['OPIOIDS'],OPIOIDS
ALENDRONATE SODIUM + CALCIUM CARBONATE,175,154,7.090987884161462,4.494556161684379,11.187335826832996,TOP_ROR,[],NONE
PHENOBARBITAL + PROPOFOL,125,110,7.0903474583629045,4.133997239089646,12.160875823754544,TOP_ROR,[],NONE
CELECOXIB + HUMIRA,191,168,7.063161671621654,4.568132576542213,10.920929277675963,TOP_ROR,['BIOLOGICS'],BIOLOGICS
