PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2,STABLE,UNSTABLE
ACETAMINOPHEN + ALENDRONIC ACID,5.801260314433396,140,True,3.810627407589945,168,True,True,False
ACETAMINOPHEN + ALFACALCIDOL,4.833465531988092,30,True,4.350201050768007,44,True,True,False
ACETAMINOPHEN + ALFUZOSIN HYDROCHLORIDE,8.216795279164776,19,True,1.5880957614264826,37,False,False,True
ACETAMINOPHEN + ALLOPURINOL,3.191836910363824,473,True,2.649602058570679,531,True,True,False
ACETAMINOPHEN + ALPRAZOLAM,3.260256715396538,306,True,2.6213009566915098,308,True,True,False
ACETAMINOPHEN + ALTACE,2.1749817238364177,13,False,21.266799816520773,11,True,True,False
ACETAMINOPHEN + ALTEPLASE,21.267306153166174,23,True,4.833373947612358,18,True,True,False
ACETAMINOPHEN + AMBRISENTAN,3.11489898386577,38,True,2.230812787009434,43,True,True,False
ACETAMINOPHEN + AMIKACIN,4.189003116232361,32,True,3.3395394782711443,49,True,True,False
ACETAMINOPHEN + AMINOSALICYLIC ACID,1.9333169285460023,15,False,4.350056979852784,22,True,False,True
ACETAMINOPHEN + AMIODARONE,3.706076137906865,116,True,3.054993357355176,104,True,True,False
ACETAMINOPHEN + AMIODARONE HYDROCHLORIDE,4.833465531988092,30,True,3.141736807777122,34,True,True,False
ACETAMINOPHEN + AMISULPRIDE,10.311616553778276,35,True,10.633626796315983,24,True,True,False
ACETAMINOPHEN + AMOXICILLIN,1.608232010548257,277,False,2.435772740557919,373,True,False,True
ACETAMINOPHEN + AMOXICILLIN / CLAVULANATE,3.8047598452844538,227,True,2.4255846681448245,200,True,True,False
ACETAMINOPHEN + AMPHETAMINE,65.73735703722109,34,True,15.466910034378875,17,True,True,False
ACETAMINOPHEN + AMPHOTERICIN B,2.3200292429096696,34,True,3.504270017536399,37,True,True,False
ACETAMINOPHEN + AMPICILLIN,1.6433265642544854,27,False,3.2866937429820577,22,True,False,True
ACETAMINOPHEN + AMPICILLIN / SULBACTAM,19.33340819012989,10,True,3.222210807887995,13,False,True,False
ACETAMINOPHEN + ANHYDROUS DIBASIC CALCIUM PHOSPHATE,1.0545259077063414,23,False,6.186939350861894,37,True,False,True
ACETAMINOPHEN + ANORO ELLIPTA,1.2083141214161313,18,False,3.0074814887374166,37,True,False,True
ACETAMINOPHEN + APIXABAN,3.1538482498678495,277,True,2.8319723451852505,330,True,True,False
ACETAMINOPHEN + APREMILAST,69.60459298866805,36,True,78.31339335636765,82,True,True,False
ACETAMINOPHEN + APREPITANT,1.5863826863174568,103,False,2.900282429177658,100,True,False,True
ACETAMINOPHEN + APTIVUS,27.06703012377769,14,True,63.80375292077008,33,True,True,False
ACETAMINOPHEN + ARANESP,5.220167717889908,32,True,3.420710368784751,59,True,True,False
ACETAMINOPHEN + ARAVA,6.445876656144132,138,True,6.339167855027896,204,True,True,False
