PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2
ABACAVIR SULFATE + ACETAMINOPHEN,1.1599790721509098,11,False,0.8458112443946456,30,False
ABACAVIR SULFATE + LAMIVUDINE,0.6766477136986956,17,False,2.623830707145724,26,True
ABACAVIR SULFATE + QUETIAPINE FUMARATE,0.8055371070264209,11,False,0.42289854985904723,23,False
ABATACEPT + ACETAMINOPHEN,3.222210807887995,13,False,10.633373628683918,12,True
ABATACEPT + ADALIMUMAB,0.6859912689399997,53,False,0.8999755318728251,56,False
ABATACEPT + AZATHIOPRINE,1.2428374844627013,16,False,0.669210260232722,22,False
ABATACEPT + BARICITINIB,0.6904549734662235,24,False,0.48331625181267185,18,False
ABATACEPT + CERTOLIZUMAB PEGOL,1.104741791360088,15,False,1.2566494813342444,23,False
ABATACEPT + CIMZIA,1.6916443690572889,11,False,1.546646152817031,13,False
ABATACEPT + CYCLOPHOSPHAMIDE,1.6916443690572889,11,False,0.45488243627634845,25,False
ABATACEPT + CYCLOSPORINE,0.7733135202673809,18,False,0.25059973490619963,34,False
ABATACEPT + ENBREL,2.577756329549898,11,False,2.1749817238364177,13,False
ABATACEPT + ETANERCEPT,0.773309187688588,36,False,0.9666459612490145,34,False
ABATACEPT + FOLIC ACID,3.6250215016771308,19,True,4.833328157065486,12,True
ABATACEPT + GOLIMUMAB,0.5799823690038487,16,False,0.9666465987223409,18,False
ABATACEPT + HYDROXYCHLOROQUINE,0.8699797887132148,19,False,0.48331378306126205,24,False
ABATACEPT + INFLIXIMAB,1.4060479801297967,27,False,1.020350868251329,37,False
ABATACEPT + LEFLUNOMIDE,1.142405795955706,24,False,0.773309187688588,36,False
ABATACEPT + METHOTREXATE,0.8107247018606222,57,False,0.7732961889584682,90,False
ABATACEPT + METHYLPREDNISOLONE,0.6151327648890839,18,False,1.230286104107397,25,False
ABATACEPT + MYCOPHENOLATE MOFETIL,1.9333169285460023,15,False,0.5452643295606754,61,False
ABATACEPT + PREDNISOLONE,4.511138240322874,17,True,0.669210260232722,22,False
ABATACEPT + PREDNISONE,0.7853942791477732,29,False,1.2608630209941798,53,False
ABATACEPT + REMICADE,1.3533121506044246,12,False,2.658323697488628,15,False
ABATACEPT + RITUXIMAB,0.3866354811967384,56,False,0.5523485060763441,55,False
ABATACEPT + RUXOLITINIB,0.6444281460705922,10,False,0.9666467580868651,14,False
ABATACEPT + SIMPONI,0.8285523846383035,13,False,1.772207038466929,17,False
ABATACEPT + SULFASALAZINE,2.5133300204981674,18,False,1.142405795955706,24,False
ABATACEPT + TACROLIMUS,1.4499838738577315,20,False,0.682330174857974,29,False
ABATACEPT + TOCILIZUMAB,0.9666458018768754,38,False,0.7410820487826633,53,False
ABATACEPT + TOFACITINIB,0.6444247481757724,20,False,0.7853942791477732,29,False
ABECMA + CYCLOPHOSPHAMIDE,1.546646152817031,13,False,0.5612602200169101,49,False
ABECMA + FLUDARABINE,1.1277573383025148,13,False,0.4296046772448851,39,False
ABEMACICLIB + ACETAMINOPHEN,0.41427322319329657,10,False,4.3499849490417555,11,False
ABEMACICLIB + ANASTROZOLE,1.3181782344405357,52,False,0.9666454034398645,48,False
ABEMACICLIB + CHOLECALCIFEROL,9.66668020459796,11,True,0.42961557869712286,13,False
ABEMACICLIB + CYCLOPHOSPHAMIDE,2.126653702075609,16,False,0.5711873690630135,35,False
ABEMACICLIB + DENOSUMAB,1.2888713691293874,21,False,0.5235858334886225,37,False
ABEMACICLIB + EPIRUBICIN,4.833328157065486,12,True,0.09666257352133134,11,False
ABEMACICLIB + EXEMESTANE,0.2521581454859446,29,False,1.2888768902788164,35,False
ABEMACICLIB + FASLODEX,3.866644050465981,10,False,0.7652518029726751,43,False
ABEMACICLIB + FULVESTRANT,0.9666451643730887,54,False,1.3182010414447032,104,False
ABEMACICLIB + GOSERELIN,0.27064905155525826,32,False,0.21144091332600698,39,False
ABEMACICLIB + LETROZOLE,0.6865337029183368,183,False,0.6422253765893445,253,False
ABEMACICLIB + LOPERAMIDE HYDROCHLORIDE,0.3222092950103882,16,False,0.26850440561493594,23,False
ABEMACICLIB + METFORMIN,14.500193515094177,16,True,1.772207038466929,17,False
ABEMACICLIB + OMEPRAZOLE,1.4499774237244405,10,False,0.6444281460705922,10,False
ABEMACICLIB + PACLITAXEL,2.31999139939079,17,False,0.6444145541016532,50,False
ABEMACICLIB + PERPRAZOLE,21.266799816520773,11,True,1.933312469091856,12,False
ABEMACICLIB + ROSUVASTATIN,0.8055371070264209,11,False,3.222210807887995,13,False
ABEMACICLIB + ZOLEDRONIC ACID,4.51125568119827,34,True,1.0126788067848596,43,False
ABILIFY + ABILIFY MAINTENA,0.922704923694015,43,False,2.035145898850824,59,True
ABILIFY + ACETAMINOPHEN,1.318166832164424,26,False,5.075102851163257,25,True
ABILIFY + ADDERALL,0.42289854985904723,23,False,0.7249776025801827,28,False
ABILIFY + ALBUTEROL,3.3833453184988045,18,True,0.6766477136986956,17,False
ABILIFY + ALBUTEROL SULFATE,1.4499774237244405,10,False,0.6444247481757724,20,False
ABILIFY + ALPRAZOLAM,0.9062284983228692,31,False,15.950859387319198,35,True
ABILIFY + AMISULPRIDE,0.386653065222429,14,False,1.0874801112337487,17,False
ABILIFY + AMLODIPINE BESYLATE,0.41427322319329657,10,False,1.6916443690572889,11,False
ABILIFY + ARIPIPRAZOLE,1.248604527629915,55,False,1.4000121109212085,71,False
ABILIFY + ASPIRIN,3.6250215016771308,19,True,1.7185115813353318,25,False
ABILIFY + ATIVAN,0.9666468377685562,12,False,1.6111007584517518,24,False
ABILIFY + ATORVASTATIN,0.8055347841217586,22,False,0.8055347841217586,22,False
ABILIFY + BUPROPION,1.4499806487679716,15,False,3.0381415414229913,29,True
ABILIFY + CALCIUM,0.41427322319329657,10,False,1.6916443690572889,11,False
ABILIFY + CLONAZEPAM,0.5983882465340941,34,False,1.1701613637403876,42,False
ABILIFY + CLOZAPINE,0.43937175021778335,32,False,1.1599836586082581,33,False
ABILIFY + CLOZARIL,0.48331625181267185,18,False,0.3717799251171446,18,False
ABILIFY + CONCERTA,0.19332560889663988,12,False,0.42961557869712286,13,False
ABILIFY + CYAMEMAZINE,2.577756329549898,11,False,27.06703012377769,14,True
ABILIFY + CYANOCOBALAMIN,1.4499870989937216,25,False,1.2083141214161313,18,False
ABILIFY + CYMBALTA,0.5204863630992407,40,False,1.84546001868718,32,False
