Id,signal_count,drug_class,r,g,b,Label
TRULICITY,15,Antidiabetic,96,108,56,TRULICITY
STELARA,15,Immunosuppressant,230,57,70,STELARA
MIRALAX,15,Alimentary/Metabolism,138,177,125,MIRALAX
TRIAMCINOLONE ACETONIDE,15,Corticosteroid,244,162,97,TRIAMCINOLONE ACETONIDE
OZEMPIC,15,Antidiabetic,96,108,56,OZEMPIC
METRONIDAZOLE,15,Antibacterial,106,153,78,METRONIDAZOLE
ORENITRAM,15,Antithrombotic,69,123,157,ORENITRAM
DULOXETINA,15,Psychoanaleptic,177,133,219,DULOXETINA
MORPHINE SULFATE,15,Analgesic/Opioid,38,70,83,MORPHINE SULFATE
VALACICLOVIR,15,Antiviral,77,144,142,VALACICLOVIR
TYVASO DPI,15,Antithrombotic,69,123,157,TYVASO DPI
KETOPROFEN,14,Anti-inflammatory (NSAID),231,111,81,KETOPROFEN
KEYTRUDA,14,Antineoplastic,42,157,143,KEYTRUDA
NIFEDIPINE,14,Beta Blocker,92,127,191,NIFEDIPINE
LOSARTAN,14,RAAS Inhibitor,67,97,160,LOSARTAN
PROTONIX,14,Alimentary/Metabolism,138,177,125,PROTONIX
CITALOPRAM,14,Psychoanaleptic,177,133,219,CITALOPRAM
PIPERACILLIN / TAZOBACTAM,14,Antibacterial,106,153,78,PIPERACILLIN / TAZOBACTAM
ENTRESTO,14,RAAS Inhibitor,67,97,160,ENTRESTO
ETOPOSIDE,14,Antineoplastic,42,157,143,ETOPOSIDE
LYRICA,14,Analgesic/Opioid,38,70,83,LYRICA
TREPROSTINIL,14,Antithrombotic,69,123,157,TREPROSTINIL
DAPAGLIFLOZIN,14,Antidiabetic,96,108,56,DAPAGLIFLOZIN
INSULIN GLARGINE,14,Antidiabetic,96,108,56,INSULIN GLARGINE
ENOXAPARIN SODIUM,13,Antithrombotic,69,123,157,ENOXAPARIN SODIUM
CALCIUM CARBONATE / CHOLECALCIFEROL,13,Alimentary/Metabolism,138,177,125,CALCIUM CARBONATE / CHOLECALCIFEROL
CLOTRIMAZOLE,13,Dermatological,188,108,37,CLOTRIMAZOLE
LIDOCAINE,13,Cardiovascular (Other),87,117,144,LIDOCAINE
SOTATERCEPT,13,Cardiovascular (Other),87,117,144,SOTATERCEPT
CEFEPIME,13,Antibacterial,106,153,78,CEFEPIME
CERTOLIZUMAB PEGOL,13,Immunosuppressant,230,57,70,CERTOLIZUMAB PEGOL
SYMBICORT,12,Anti-asthmatic,181,201,154,SYMBICORT
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,12,Respiratory (Other),144,190,109,CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE
BUPROPION,12,Psychoanaleptic,177,133,219,BUPROPION
LITHIUM,12,Narrow Therapeutic Index,178,34,34,LITHIUM
AMITRIPTYLINE HYDROCHLORIDE,12,Psychoanaleptic,177,133,219,AMITRIPTYLINE HYDROCHLORIDE
SILDENAFILO,12,Genitourinary,204,213,174,SILDENAFILO
WINREVAIR,12,Cardiovascular (Other),87,117,144,WINREVAIR
FEBUXOSTAT,12,Musculoskeletal (Other),221,161,94,FEBUXOSTAT
KORTISON,12,Corticosteroid,244,162,97,KORTISON
PEMBROLIZUMAB,12,Antineoplastic,42,157,143,PEMBROLIZUMAB
HEPARIN,12,Antithrombotic,69,123,157,HEPARIN
AZATHIOPRINE,11,Immunosuppressant,230,57,70,AZATHIOPRINE
LACTULOSE,11,Alimentary/Metabolism,138,177,125,LACTULOSE
SITAGLIPTIN,11,Antidiabetic,96,108,56,SITAGLIPTIN
BUPRENORPHINE,11,Analgesic/Opioid,38,70,83,BUPRENORPHINE
VITAMIN D NOS,11,Alimentary/Metabolism,138,177,125,VITAMIN D NOS
LORATADINE,11,Respiratory (Other),144,190,109,LORATADINE
ONDANSETRON HYDROCHLORIDE,11,Alimentary/Metabolism,138,177,125,ONDANSETRON HYDROCHLORIDE
COCAINE,11,Anesthetic,119,141,169,COCAINE
VINCRISTINE,11,Antineoplastic,42,157,143,VINCRISTINE
GLICLAZIDE,11,Antidiabetic,96,108,56,GLICLAZIDE
OTEZLA,11,Immunosuppressant,230,57,70,OTEZLA
ATIVAN,11,Psycholeptic,155,93,229,ATIVAN
SPIRIVA,11,Anti-asthmatic,181,201,154,SPIRIVA
LIPITOR,10,Lipid Modifying,123,151,212,LIPITOR
RISEDRONATE SODIUM,10,Musculoskeletal (Other),221,161,94,RISEDRONATE SODIUM
TYLENOL EXTRA STRENGTH,10,Analgesic/Opioid,38,70,83,TYLENOL EXTRA STRENGTH
FLUTICASONA,10,Anti-asthmatic,181,201,154,FLUTICASONA
BUDESONIDE,10,Anti-asthmatic,181,201,154,BUDESONIDE
POLOXAMER,10,Alimentary/Metabolism,138,177,125,POLOXAMER
KETAMINE HYDROCHLORIDE,10,Anesthetic,119,141,169,KETAMINE HYDROCHLORIDE
KETAMINE,10,Anesthetic,119,141,169,KETAMINE
GOLIMUMAB,10,Immunosuppressant,230,57,70,GOLIMUMAB
POTASSIUM,10,Cardiovascular (Other),87,117,144,POTASSIUM
LIDOCAINE HYDROCHLORIDE,10,Cardiovascular (Other),87,117,144,LIDOCAINE HYDROCHLORIDE
LECITHIN,10,Alimentary/Metabolism,138,177,125,LECITHIN
GLIPIZIDE,10,Antidiabetic,96,108,56,GLIPIZIDE
DOXYCYCLINE,10,Antibacterial,106,153,78,DOXYCYCLINE
PACLITAXEL,10,Antineoplastic,42,157,143,PACLITAXEL
GANCICLOVIR,9,Antiviral,77,144,142,GANCICLOVIR
PEMETREXED,9,Antineoplastic,42,157,143,PEMETREXED
HUMAN IMMUNOGLOBULIN G,9,Anti-infective (Other),56,102,65,HUMAN IMMUNOGLOBULIN G
TEDUGLUTIDE,9,Alimentary/Metabolism,138,177,125,TEDUGLUTIDE
PLAVIX,9,Antithrombotic,69,123,157,PLAVIX
PERINDOPRIL,9,RAAS Inhibitor,67,97,160,PERINDOPRIL
LOVENOX,9,Antithrombotic,69,123,157,LOVENOX
GLYCERYL TRINITRATE,9,Cardiovascular (Other),87,117,144,GLYCERYL TRINITRATE
FARXIGA,9,Antidiabetic,96,108,56,FARXIGA
NOVOLOG,9,Antidiabetic,96,108,56,NOVOLOG
JANUVIA,9,Antidiabetic,96,108,56,JANUVIA
TRAZODONE HYDROCHLORIDE,9,Psychoanaleptic,177,133,219,TRAZODONE HYDROCHLORIDE
VALPROIC ACID,9,Narrow Therapeutic Index,178,34,34,VALPROIC ACID
