PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
METHYLPREDNISOLONE SODIUM SUCCINATE + XELJANZ,117,104,7.734851833885726,4.345490746602466,13.767819650505992,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
ERELZI + INFLIXIMAB,314,279,7.710032457287112,5.425058322954888,10.9574122440112,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ASCORBIC ACID + INFLIXIMAB,143,127,7.6747882115375425,4.5629619148958325,12.908802481929172,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ACETAMINOPHEN + HYDROCORTISONE ACETATE,116,103,7.660459953252509,4.302359083491354,13.639644101432047,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
AIMOVIG + OXYCODONE,205,182,7.652014508513958,4.958997033156927,11.807493661925568,TOP_ROR,['OPIOIDS'],OPIOIDS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CETIRIZINE + METHOTREXATE,294,261,7.649447603500184,5.325399042152857,10.987730341995125,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ACTEMRA + RAMIPRIL,196,174,7.648064993635041,4.9082968363107575,11.917147657848462,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ACYCLOVIR + VINCRISTINE,196,174,7.648064993635041,4.9082968363107575,11.917147657848462,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE + MYCOPHENOLATE MOFETIL,169,150,7.63380339088963,4.736424404903659,12.30357527725461,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ALENDRONATE SODIUM + PHTHALYLSULFATHIAZOLE,169,150,7.63380339088963,4.736424404903659,12.30357527725461,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ALENDRONIC ACID + NAPROXEN,160,142,7.628021736561688,4.6712478169150105,12.456353825365088,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CETIRIZINE HYDROCHLORIDE + STELARA,151,134,7.6215750423021715,4.6013088467337955,12.624322352688186,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CELECOXIB + INFLIXIMAB,204,181,7.6099522847477665,4.9310752124752675,11.744167606615717,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
METHYLPREDNISOLONE SODIUM SUCCINATE + ORENCIA,133,118,7.606154498103006,4.4444985174786185,13.01689853680796,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
ERELZI + XELJANZ,248,220,7.598554106118039,5.127732567617279,11.25995237509678,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
DICLOFENAC + ERELZI,398,353,7.588367224514931,5.564137066326946,10.349011256853334,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
PHTHALYLSULFATHIAZOLE + SULFASALAZINE,283,251,7.58608914245965,5.250820389777922,10.959953722541655,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CHOLECALCIFEROL + QUETIAPINE FUMARATE,115,102,7.586068428148789,4.259228784869016,13.511468179637978,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CEFTAZIDIME + CIPROFLOXACIN,106,94,7.573546829536775,4.152921321726559,13.81162972655112,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
